Household_ID,Average_Daily_Usage_kWh,Peak_Hour_Usage_Percent,Night_Usage_Percent,Weekend_to_Weekday_Ratio,Maximum_Demand_kW,Monthly_Bill_INR,Power_Cut_Complaints_Per_Year
HH-0819,26.72,50.3,26.0,1.23,7.6,4120.0,1
HH-0270,15.5,51.6,7.7,1.05,3.12,2033.0,2
HH-0016,7.28,31.9,17.1,1.06,1.42,948.0,1
HH-0455,15.7,43.3,14.8,1.08,4.15,2388.0,1
HH-0188,5.98,27.8,20.1,1.03,1.53,853.0,2
HH-0761,28.99,43.3,22.9,1.21,7.58,4667.0,1
HH-0261,14.3,56.5,12.6,1.19,3.66,1923.0,1
HH-0331,14.18,50.7,14.4,1.15,4.47,1894.0,3
HH-0143,7.42,25.0,22.1,1.06,1.91,999.0,1
HH-0632,19.16,26.4,45.5,0.88,5.74,2369.0,1
HH-0127,7.04,26.4,22.8,1.02,1.65,735.0,1
HH-0615,15.26,36.0,45.1,0.84,6.55,2548.0,2
HH-0728,39.22,45.4,27.4,1.28,8.68,5511.0,1
HH-0417,13.71,49.1,17.9,1.14,4.99,2182.0,1
HH-0619,20.26,34.0,41.4,0.91,5.08,2721.0,1
HH-0148,6.18,23.2,23.5,0.97,1.64,1047.0,1
HH-0075,7.04,25.8,19.1,0.95,2.14,954.0,0
HH-0144,8.09,27.9,15.0,1.04,1.63,1166.0,1
HH-0605,21.37,32.8,41.4,0.94,6.0,2878.0,1
HH-0584,21.23,28.9,43.7,0.95,6.18,2964.0,2
HH-0301,17.73,47.1,17.1,1.14,3.47,2150.0,2
HH-0653,20.63,27.7,42.9,0.92,5.9,2664.0,1
HH-0263,14.95,56.4,8.5,1.05,4.51,2192.0,0
HH-0072,6.09,24.2,18.9,1.0,1.35,787.0,1
HH-0537,20.2,33.9,42.4,0.81,6.44,2829.0,3
HH-0431,16.35,48.6,8.9,1.07,5.0,2486.0,0
HH-0293,17.09,50.5,13.0,1.13,4.64,2441.0,0
HH-0376,14.1,41.8,16.8,1.1,4.62,2216.0,1
HH-0184,6.08,28.7,13.7,1.01,2.53,821.0,0
HH-0798,34.28,56.3,24.9,1.14,8.83,5009.0,4
HH-0444,13.59,53.1,16.5,1.09,4.06,2046.0,0
HH-0123,6.66,25.1,15.9,1.25,0.9,832.0,0
HH-0014,7.12,24.4,18.4,1.08,1.78,1041.0,0
HH-0021,7.4,36.1,13.1,1.04,1.99,872.0,1
HH-0580,17.06,31.4,41.5,0.85,5.7,2432.0,4
HH-0066,6.98,26.0,13.7,1.09,1.56,1006.0,1
HH-0513,21.1,33.2,37.6,0.9,5.6,2755.0,1
HH-0365,15.2,54.4,13.3,1.12,4.36,2340.0,3
HH-0282,14.15,53.8,10.8,0.98,4.78,2003.0,4
HH-0893,33.28,48.2,22.8,1.25,8.25,5070.0,2
HH-0204,6.76,31.0,14.2,1.03,1.46,821.0,1
HH-0507,18.93,34.1,44.1,0.92,5.01,2643.0,3
HH-0099,6.23,27.9,15.7,1.1,2.16,727.0,2
HH-0135,7.89,37.6,20.5,1.26,1.94,1040.0,2
HH-0118,6.97,26.5,16.1,1.09,1.61,744.0,0
HH-0124,6.63,33.5,14.5,0.99,1.36,1012.0,0
HH-0397,14.3,46.7,16.6,1.14,3.96,2249.0,5
HH-0498,20.82,24.1,41.2,0.9,6.08,3049.0,2
HH-0899,27.29,53.7,24.3,1.15,8.17,4667.0,2
HH-0046,7.09,25.6,17.0,1.01,1.34,827.0,1
HH-0157,6.63,23.1,13.9,1.03,2.29,933.0,1
HH-0356,13.02,52.0,9.8,1.19,4.03,1892.0,1
HH-0664,21.55,30.8,43.0,0.94,5.89,2890.0,2
HH-0284,15.22,52.9,15.8,1.1,3.92,2187.0,0
HH-0346,17.67,49.3,9.3,1.02,3.82,2323.0,0
HH-0413,16.31,50.7,14.4,1.1,3.59,2375.0,1
HH-0089,6.94,24.6,17.7,1.03,2.81,810.0,3
HH-0666,18.52,21.8,37.3,0.88,6.11,2682.0,1
HH-0195,7.5,30.3,21.3,1.01,1.33,944.0,2
HH-0167,5.56,23.8,16.6,1.07,1.72,604.0,1
HH-0466,18.99,30.7,46.8,0.98,5.67,2933.0,1
HH-0691,34.16,38.1,24.4,1.13,8.32,4995.0,2
HH-0563,19.85,30.4,38.0,0.88,6.1,2885.0,5
HH-0181,7.02,26.6,15.9,1.15,0.72,953.0,1
HH-0193,7.0,31.4,15.6,1.11,2.92,942.0,3
HH-0418,16.34,51.6,15.7,1.08,4.27,2122.0,1
HH-0159,7.57,32.7,17.3,1.09,1.13,1376.0,4
HH-0399,13.99,47.9,12.9,1.14,4.43,1903.0,3
HH-0084,8.2,28.4,18.0,1.03,2.44,968.0,1
HH-0242,15.2,42.5,9.6,1.15,3.82,2275.0,2
HH-0745,28.82,39.7,25.6,1.13,8.46,4566.0,3
HH-0274,12.18,53.9,16.1,1.11,4.63,1718.0,1
HH-0476,23.4,32.0,39.2,0.94,5.93,3073.0,1
HH-0158,7.17,32.9,19.8,0.98,1.42,967.0,0
HH-0657,21.04,30.9,37.8,0.91,5.87,2890.0,2
HH-0038,7.83,23.7,18.8,1.06,0.6,686.0,0
HH-0530,18.65,26.1,40.5,0.92,6.52,3052.0,4
HH-0083,6.17,28.3,16.9,1.06,1.37,638.0,1
HH-0609,23.73,31.9,43.5,1.08,5.36,3024.0,3
HH-0040,7.18,28.1,18.3,1.1,2.47,983.0,1
HH-0008,7.58,28.2,15.7,0.99,2.11,807.0,2
HH-0095,8.15,31.2,14.2,1.1,1.71,932.0,3
HH-0205,7.16,25.7,19.5,1.05,1.55,967.0,2
HH-0044,6.53,28.8,19.5,1.0,2.17,895.0,0
HH-0053,6.25,26.2,16.8,1.13,2.1,855.0,0
HH-0185,6.09,27.0,21.1,1.06,2.24,957.0,2
HH-0631,21.28,32.3,38.3,0.84,6.24,3101.0,1
HH-0471,19.21,33.3,44.2,1.02,5.11,2938.0,3
HH-0601,20.54,31.2,48.1,0.97,5.71,2927.0,0
HH-0746,30.05,48.3,25.6,1.12,8.36,4940.0,2
HH-0059,7.0,29.7,15.0,1.11,2.44,1037.0,1
HH-0192,7.36,39.5,21.6,1.13,3.11,789.0,1
HH-0523,20.7,33.7,46.6,0.78,5.87,3182.0,0
HH-0776,29.38,43.5,25.0,1.05,8.89,4421.0,2
HH-0607,18.09,36.4,36.5,0.86,6.0,2473.0,2
HH-0055,6.01,35.8,14.3,1.12,2.14,508.0,0
HH-0392,14.44,45.7,16.8,1.17,5.18,2102.0,0
HH-0374,13.87,50.6,10.5,1.12,3.55,1877.0,0
HH-0268,14.91,51.2,16.9,1.0,4.6,2593.0,1
HH-0641,19.48,30.5,47.4,0.85,5.52,2741.0,2
HH-0698,32.6,48.2,16.7,1.11,8.59,4984.0,1
HH-0130,7.25,34.3,19.4,0.97,1.39,984.0,1
HH-0639,20.21,26.8,39.1,0.87,4.86,2732.0,2
HH-0713,31.89,53.1,24.5,1.2,7.48,4516.0,1
HH-0120,7.5,32.9,22.0,1.18,2.38,888.0,1
HH-0652,22.07,26.4,45.1,0.95,5.64,2879.0,2
HH-0241,15.95,54.9,13.3,1.18,4.67,2402.0,1
HH-0410,16.12,51.7,13.7,1.19,4.32,2371.0,2
HH-0767,33.93,49.8,23.4,1.23,8.31,4997.0,2
HH-0673,26.84,42.5,24.4,1.38,7.04,4191.0,3
HH-0628,22.15,34.7,38.8,0.98,5.74,3204.0,4
HH-0249,11.05,57.5,7.8,1.14,4.95,1723.0,2
HH-0515,19.24,32.2,47.8,0.84,4.92,2525.0,2
HH-0550,20.05,31.1,38.7,0.93,5.6,2881.0,2
HH-0117,6.93,21.8,17.8,1.04,2.45,958.0,1
HH-0799,31.6,45.6,30.1,1.13,8.41,4919.0,2
HH-0228,15.53,51.4,13.0,1.13,4.31,2321.0,2
HH-0626,21.73,33.6,53.0,0.82,5.05,3208.0,3
HH-0760,30.61,38.8,25.9,1.24,7.55,4715.0,7
HH-0323,14.18,48.9,11.4,1.2,3.53,1990.0,2
HH-0890,27.49,45.6,29.3,1.11,7.85,4289.0,3
HH-0852,31.45,46.7,24.9,1.11,9.31,4501.0,1
HH-0558,18.06,35.1,44.1,0.85,5.45,2529.0,3
HH-0001,5.75,32.2,13.8,1.05,1.6,350.0,0
HH-0479,20.56,26.4,43.7,0.91,5.55,3002.0,2
HH-0007,7.53,22.7,15.6,0.91,1.3,1188.0,1
HH-0659,17.8,36.0,43.6,0.93,5.7,2563.0,2
HH-0112,7.21,28.4,16.3,1.01,2.05,802.0,2
HH-0174,7.69,28.4,18.9,1.06,2.25,912.0,1
HH-0042,6.62,27.1,11.0,1.12,2.07,999.0,2
HH-0088,4.98,34.8,21.6,1.04,2.37,864.0,0
HH-0349,13.9,53.3,16.0,1.0,3.4,2166.0,2
HH-0661,20.07,26.7,37.1,0.97,5.21,3278.0,3
HH-0421,15.67,45.6,21.6,1.11,5.34,2263.0,1
HH-0027,6.74,26.4,15.9,1.09,1.74,1169.0,1
HH-0280,17.02,54.7,12.5,1.17,3.94,2099.0,2
HH-0447,14.58,48.3,19.7,1.13,4.11,1918.0,0
HH-0775,30.63,43.3,23.8,1.19,8.05,4633.0,5
HH-0506,23.37,37.9,41.3,0.83,5.05,3366.0,5
HH-0620,19.91,37.5,35.9,0.94,5.2,2998.0,2
HH-0360,13.89,55.4,15.2,1.22,3.8,1742.0,0
HH-0804,30.79,42.1,23.5,1.19,7.34,4730.0,0
HH-0733,30.32,41.8,25.2,1.11,8.59,4397.0,4
HH-0297,14.41,53.4,15.4,1.09,3.98,2213.0,1
HH-0685,30.89,46.0,22.5,1.17,9.26,4660.0,2
HH-0255,12.47,48.2,18.2,1.12,4.34,1807.0,0
HH-0340,15.04,53.6,11.5,1.17,4.41,2248.0,0
HH-0429,15.5,48.9,21.3,1.22,3.07,2140.0,0
HH-0566,18.43,28.2,40.8,1.04,5.38,2941.0,5
HH-0451,14.85,54.5,13.8,1.22,4.65,1712.0,1
HH-0548,20.36,32.2,40.2,0.77,4.91,2991.0,2
HH-0245,12.78,51.1,14.8,1.08,3.5,2054.0,1
HH-0069,7.24,29.2,22.0,1.1,0.98,1068.0,2
HH-0426,15.88,52.7,8.0,1.17,3.64,2447.0,1
HH-0647,21.31,26.3,42.0,0.92,5.93,3068.0,0
HH-0271,15.13,50.7,15.2,1.15,4.77,2311.0,3
HH-0258,12.84,54.6,15.4,1.07,4.01,1945.0,1
HH-0025,8.0,29.4,16.8,0.95,3.15,1316.0,1
HH-0314,14.06,47.6,12.1,1.05,5.45,2293.0,1
HH-0771,32.04,50.9,26.4,1.19,8.54,4948.0,3
HH-0797,26.74,43.8,26.7,1.12,7.86,4431.0,2
HH-0731,29.08,45.9,30.1,1.04,8.05,4523.0,2
HH-0538,21.96,33.7,42.7,0.95,5.29,3057.0,2
HH-0815,30.75,48.5,28.6,1.17,8.2,4344.0,7
HH-0345,15.95,52.4,14.1,1.18,3.36,2380.0,1
HH-0370,15.86,52.2,15.5,1.09,3.64,2456.0,1
HH-0522,22.9,28.4,43.8,0.98,5.11,3471.0,1
HH-0333,14.58,56.6,15.4,1.01,4.88,2363.0,1
HH-0179,7.04,30.7,14.1,1.15,2.48,739.0,2
HH-0512,17.47,33.6,40.0,0.92,5.96,2445.0,4
HH-0442,14.07,48.4,13.6,1.14,4.67,2000.0,0
HH-0473,20.97,32.0,32.0,0.89,6.09,2950.0,2
HH-0576,20.69,32.0,38.9,0.92,4.97,3339.0,3
HH-0386,14.56,53.0,8.9,1.12,3.18,2312.0,2
HH-0064,5.24,31.8,12.1,1.02,1.37,588.0,7
HH-0225,5.91,34.7,16.7,1.09,1.69,350.0,0
HH-0704,32.0,44.9,19.4,1.18,8.84,4396.0,4
HH-0593,22.17,31.0,41.5,0.85,5.73,3156.0,3
HH-0897,31.6,48.0,27.6,1.19,8.3,4834.0,5
HH-0823,29.57,50.6,27.4,1.06,8.74,4257.0,0
HH-0716,26.14,34.3,25.2,1.22,8.29,4320.0,4
HH-0191,8.56,28.6,21.8,1.17,2.39,1036.0,2
HH-0608,20.75,30.9,41.2,0.9,4.86,3279.0,2
HH-0668,17.2,33.2,50.5,0.9,5.25,2734.0,2
HH-0739,27.5,46.7,25.0,1.09,8.45,4383.0,4
HH-0048,6.74,30.4,17.1,1.05,1.77,726.0,1
HH-0028,6.96,26.2,18.8,1.03,2.22,873.0,0
HH-0266,15.87,50.5,12.9,1.18,5.41,2077.0,1
HH-0472,23.26,28.3,41.3,0.99,6.24,3002.0,2
HH-0463,20.23,31.9,43.8,0.77,5.69,2971.0,2
HH-0695,29.68,45.1,30.6,1.2,8.38,4630.0,3
HH-0567,24.56,26.5,40.6,0.91,5.54,3206.0,4
HH-0256,14.19,43.6,16.7,1.1,4.42,2163.0,0
HH-0458,15.19,55.9,16.5,1.24,4.09,2340.0,1
HH-0610,17.56,28.7,45.8,0.75,5.51,2732.0,1
HH-0062,7.38,23.8,21.5,1.11,1.35,745.0,0
HH-0855,27.84,45.8,31.4,1.23,7.99,4539.0,3
HH-0440,13.22,53.7,7.0,1.08,5.33,1747.0,1
HH-0885,33.25,40.3,20.5,1.22,7.63,4666.0,3
HH-0525,17.44,35.2,44.4,1.02,5.55,2789.0,0
HH-0039,8.41,27.1,24.1,1.13,1.35,974.0,0
HH-0516,21.14,37.2,48.3,0.96,5.64,3006.0,2
HH-0759,32.5,47.5,25.2,1.09,8.75,4645.0,4
HH-0894,31.74,39.0,29.4,1.28,8.38,4872.0,2
HH-0844,33.64,52.1,26.3,1.19,8.17,5111.0,1
HH-0886,32.3,42.1,28.3,1.17,8.06,4927.0,3
HH-0196,6.17,26.4,16.6,0.95,1.3,743.0,0
HH-0752,36.95,43.8,26.2,1.27,8.74,5604.0,3
HH-0227,11.95,49.3,13.9,1.17,3.7,1761.0,2
HH-0435,14.85,49.0,13.4,1.33,4.16,2132.0,0
HH-0129,7.1,27.8,19.1,1.03,2.0,909.0,0
HH-0553,20.44,28.6,45.6,0.82,5.36,3234.0,2
HH-0737,27.17,46.0,34.2,1.14,8.82,4459.0,2
HH-0425,15.01,53.9,15.1,1.06,4.06,2303.0,3
HH-0416,13.49,48.8,15.7,1.18,3.53,1740.0,0
HH-0290,13.46,56.8,17.2,1.09,3.93,1868.0,2
HH-0068,6.74,21.1,17.3,1.08,1.79,950.0,4
HH-0377,13.88,50.8,7.3,1.21,4.26,2278.0,0
HH-0501,19.97,28.8,43.0,0.97,6.17,2886.0,2
HH-0488,18.74,32.8,37.3,1.0,6.36,3116.0,4
HH-0640,20.62,27.8,47.3,1.03,4.84,2941.0,2
HH-0289,15.31,49.3,13.9,1.11,3.53,2229.0,0
HH-0599,22.96,34.5,39.9,0.81,6.45,3130.0,3
HH-0433,14.42,53.4,17.9,1.22,4.63,2174.0,0
HH-0438,15.13,47.3,9.5,1.13,4.37,2133.0,2
HH-0343,15.84,52.4,20.4,1.03,3.92,2300.0,2
HH-0315,14.39,57.0,15.2,1.07,4.1,2045.0,3
HH-0281,14.89,53.5,15.9,1.16,3.71,2090.0,0
HH-0670,18.78,27.8,46.2,0.92,5.38,2618.0,1
HH-0730,26.77,48.2,25.4,1.21,8.05,4373.0,2
HH-0106,7.38,29.6,17.0,1.1,2.26,898.0,0
HH-0689,31.93,41.9,28.9,1.14,8.54,4717.0,1
HH-0173,6.07,31.4,18.3,1.06,2.12,729.0,2
HH-0009,6.29,25.6,17.0,1.07,2.41,681.0,0
HH-0768,38.52,49.9,16.5,1.16,8.21,5264.0,3
HH-0030,7.82,25.1,17.7,1.13,1.3,1014.0,2
HH-0528,20.33,35.1,41.6,0.85,6.49,2910.0,4
HH-0505,18.2,33.8,38.7,1.14,5.91,2681.0,2
HH-0312,11.25,49.3,18.1,1.21,4.82,1503.0,1
HH-0002,6.9,27.5,16.2,1.0,1.33,1095.0,1
HH-0489,18.05,28.7,38.4,0.86,5.86,2580.0,3
HH-0214,7.41,26.6,18.2,1.02,1.35,1061.0,1
HH-0677,29.74,51.1,28.2,1.14,8.63,4333.0,5
HH-0524,22.19,25.6,39.0,0.83,6.39,3216.0,3
HH-0729,27.02,42.9,23.5,1.08,7.6,4098.0,1
HH-0732,30.16,51.4,28.9,1.25,7.56,4495.0,1
HH-0534,21.04,29.6,48.3,1.0,5.39,3099.0,0
HH-0842,29.03,48.4,23.5,1.17,7.67,4221.0,1
HH-0405,12.65,56.4,17.4,1.16,4.14,2029.0,1
HH-0279,15.67,52.6,11.8,1.04,4.15,2201.0,1
HH-0841,34.05,42.6,26.9,1.08,9.28,4965.0,4
HH-0121,6.91,28.7,21.9,0.99,1.5,539.0,2
HH-0090,7.8,23.5,19.3,1.07,1.75,994.0,0
HH-0036,7.43,30.9,19.6,1.15,2.08,1202.0,0
HH-0854,28.56,39.2,21.3,1.18,8.01,4625.0,1
HH-0441,12.91,49.9,9.4,1.13,4.7,2066.0,1
HH-0033,6.33,19.8,14.1,1.03,1.74,726.0,4
HH-0802,33.09,48.0,28.6,1.13,7.18,5279.0,1
HH-0707,29.84,47.0,29.6,1.23,8.79,4792.0,0
HH-0272,15.73,50.5,7.7,1.13,4.9,2049.0,1
HH-0675,35.34,41.1,25.6,1.26,8.3,5263.0,0
HH-0758,33.92,46.2,16.1,1.13,9.11,5158.0,4
HH-0560,21.78,27.8,37.7,0.82,4.76,3141.0,1
HH-0868,30.28,48.1,26.3,1.17,7.97,4660.0,1
HH-0676,30.47,40.2,21.8,1.18,7.78,4652.0,1
HH-0531,17.58,26.0,38.4,0.94,6.21,2549.0,2
HH-0575,17.66,28.2,45.4,0.99,6.23,2598.0,2
HH-0077,5.58,27.0,14.8,1.03,1.66,831.0,3
HH-0751,35.65,43.4,25.3,1.07,8.25,5406.0,1
HH-0023,6.76,30.3,23.2,1.08,2.29,741.0,0
HH-0394,16.01,54.5,14.5,1.17,4.09,2155.0,0
HH-0176,7.75,34.7,17.9,1.01,2.88,1086.0,0
HH-0551,19.24,22.3,43.2,0.94,6.11,2952.0,0
HH-0326,13.86,48.8,15.5,0.95,3.46,1884.0,0
HH-0180,7.63,29.9,21.0,1.09,0.9,1036.0,0
HH-0391,16.0,47.6,15.5,1.1,5.35,2353.0,0
HH-0357,15.29,55.2,13.4,1.08,4.58,2287.0,3
HH-0783,31.2,46.5,26.3,1.18,9.35,4828.0,3
HH-0486,22.04,29.5,48.2,1.01,6.92,2989.0,2
HH-0153,6.94,24.3,19.1,1.14,2.29,1081.0,1
HH-0020,7.68,26.5,9.9,1.05,1.02,937.0,3
HH-0634,19.9,29.9,37.1,0.89,5.45,2611.0,3
HH-0586,20.07,30.5,49.4,0.95,4.72,2742.0,1
HH-0484,21.62,25.0,44.2,0.88,5.96,2997.0,1
HH-0337,13.68,54.7,20.6,1.04,3.97,1782.0,1
HH-0495,18.81,33.6,45.0,0.88,5.44,3096.0,0
HH-0682,26.89,53.2,23.2,1.26,8.7,4263.0,0
HH-0208,8.53,23.1,16.6,1.13,0.79,1145.0,1
HH-0762,32.12,50.1,28.4,1.25,8.23,4972.0,2
HH-0755,31.31,44.9,30.1,1.33,9.27,4561.0,2
HH-0017,5.98,26.1,15.4,1.0,1.41,1020.0,3
HH-0419,14.52,49.5,17.7,1.2,3.89,2287.0,1
HH-0097,6.9,31.2,18.1,1.14,1.93,1316.0,0
HH-0805,32.27,49.3,25.8,1.24,8.05,4585.0,7
HH-0625,21.72,27.5,44.6,0.84,4.98,2786.0,2
HH-0535,19.54,31.1,40.1,0.78,5.52,2706.0,4
HH-0617,20.93,40.3,41.3,0.96,5.91,2779.0,0
HH-0705,30.0,44.1,31.7,1.07,8.92,4825.0,2
HH-0449,14.63,53.6,17.6,1.1,4.11,2291.0,4
HH-0407,15.88,48.8,14.8,1.17,4.75,2382.0,0
HH-0454,15.42,51.1,16.8,1.13,4.01,2137.0,4
HH-0051,8.05,20.3,20.0,1.11,2.09,935.0,0
HH-0667,22.29,33.8,41.1,0.96,5.8,3247.0,3
HH-0846,27.99,47.4,32.1,1.21,9.31,4775.0,3
HH-0111,6.84,29.9,21.9,1.04,2.21,939.0,2
HH-0105,5.1,27.9,16.3,1.0,0.6,391.0,0
HH-0765,29.39,40.8,29.9,1.32,8.35,4317.0,1
HH-0714,34.42,48.6,23.1,1.16,8.24,4538.0,1
HH-0298,13.85,44.6,13.2,1.21,4.2,2149.0,1
HH-0233,14.51,50.3,15.1,1.17,4.84,2116.0,3
HH-0633,19.38,27.9,43.8,0.85,6.26,3092.0,0
HH-0469,21.43,37.5,41.8,0.83,4.77,3110.0,1
HH-0788,34.53,38.2,19.1,1.18,8.06,5231.0,4
HH-0398,13.7,45.8,10.5,1.2,3.78,1880.0,0
HH-0035,6.27,27.3,20.0,1.12,2.61,642.0,0
HH-0672,28.94,53.1,30.5,1.09,9.07,4656.0,1
HH-0711,34.62,49.0,24.4,1.15,8.07,5405.0,1
HH-0464,20.77,28.1,47.6,0.97,5.05,3143.0,4
HH-0215,8.01,26.5,15.7,1.06,1.04,924.0,0
HH-0034,7.39,26.3,21.4,1.09,1.98,971.0,2
HH-0557,22.41,35.5,41.6,0.91,5.32,3178.0,2
HH-0450,16.22,43.6,9.8,1.27,3.44,2138.0,1
HH-0741,24.24,46.9,30.0,1.14,7.73,4023.0,1
HH-0347,12.82,44.1,11.9,1.1,4.77,2081.0,2
HH-0070,5.76,24.4,18.7,1.04,0.97,350.0,3
HH-0308,14.34,52.2,12.5,1.11,4.29,1772.0,2
HH-0436,16.43,49.6,12.3,1.17,4.89,1896.0,4
HH-0555,23.68,28.1,39.8,0.97,5.83,3474.0,0
HH-0250,15.93,54.1,12.0,1.12,4.46,2055.0,0
HH-0302,11.33,47.2,13.9,1.09,4.62,1994.0,1
HH-0294,17.45,50.8,13.8,1.16,4.02,2885.0,0
HH-0406,12.39,44.4,18.5,1.1,4.3,1817.0,0
HH-0800,29.34,40.2,19.3,1.19,8.85,4402.0,1
HH-0150,7.4,27.7,18.6,1.1,2.34,1038.0,1
HH-0892,31.39,42.1,25.6,1.08,7.68,4511.0,2
HH-0145,6.32,20.9,26.0,1.15,1.42,652.0,2
HH-0460,16.34,52.6,11.4,1.11,4.75,2256.0,1
HH-0592,19.29,24.2,37.7,0.87,6.52,2639.0,2
HH-0247,14.29,48.3,24.2,1.15,4.22,2117.0,1
HH-0782,29.94,46.3,26.7,1.13,7.95,4449.0,2
HH-0554,19.19,28.4,44.3,1.0,5.47,2545.0,1
HH-0604,19.86,31.3,52.4,0.88,5.4,2889.0,0
HH-0863,33.88,41.0,24.5,1.1,8.46,5527.0,0
HH-0087,6.42,30.7,19.3,1.1,1.34,975.0,2
HH-0018,6.82,28.6,18.4,1.09,2.78,788.0,1
HH-0569,21.87,32.0,42.2,0.87,5.39,3224.0,2
HH-0478,21.77,28.8,40.2,0.92,4.48,3233.0,3
HH-0643,20.49,30.0,35.3,0.84,6.13,2940.0,1
HH-0422,16.22,45.5,19.3,1.28,4.89,2542.0,2
HH-0801,34.27,41.7,27.8,1.15,7.75,4821.0,0
HH-0900,32.15,51.4,22.2,1.15,8.19,4998.0,2
HH-0162,7.31,26.6,16.4,1.1,1.75,807.0,1
HH-0335,14.62,48.9,15.9,1.09,4.56,2274.0,2
HH-0645,20.25,35.2,41.7,0.87,5.65,2909.0,1
HH-0790,32.9,43.0,27.0,1.05,8.31,4854.0,1
HH-0334,14.8,58.6,15.1,1.06,3.84,2117.0,0
HH-0404,13.78,52.6,13.5,1.13,4.17,2189.0,1
HH-0853,30.4,41.3,24.0,1.2,8.86,4351.0,1
HH-0837,38.19,44.4,22.4,1.28,8.21,5306.0,2
HH-0010,6.85,28.6,21.1,1.12,2.58,965.0,1
HH-0769,27.73,49.2,27.0,1.18,8.84,4468.0,5
HH-0388,12.2,61.2,13.7,1.14,4.98,1817.0,0
HH-0232,14.56,49.6,16.1,1.1,3.79,2060.0,1
HH-0199,5.42,29.1,18.6,1.05,2.09,481.0,2
HH-0423,14.28,57.9,13.0,1.17,4.1,2006.0,2
HH-0712,31.5,46.7,21.9,1.21,8.75,4690.0,3
HH-0637,19.45,36.9,44.2,0.89,5.1,2689.0,1
HH-0644,20.89,30.4,43.2,0.8,5.74,2892.0,4
HH-0526,19.97,34.9,34.4,0.82,5.55,2664.0,1
HH-0520,20.31,29.2,45.3,0.98,5.59,2837.0,2
HH-0276,14.94,58.1,11.7,1.22,4.03,2123.0,0
HH-0830,31.56,49.5,26.5,1.23,9.67,4580.0,1
HH-0862,30.13,41.2,21.8,1.22,8.23,4454.0,6
HH-0432,14.15,51.5,13.8,1.08,4.24,1876.0,3
HH-0618,17.69,32.5,48.0,0.94,5.87,2354.0,4
HH-0096,6.26,31.4,17.4,1.14,2.05,734.0,3
HH-0081,6.07,25.4,12.3,1.1,1.63,891.0,1
HH-0054,7.13,32.3,20.9,1.11,1.3,1056.0,3
HH-0304,14.41,54.8,12.1,1.14,4.54,2456.0,3
HH-0047,7.93,32.5,17.1,1.12,1.8,958.0,0
HH-0216,6.25,38.4,24.9,1.09,2.09,556.0,0
HH-0803,32.75,47.5,21.5,1.09,8.65,4991.0,4
HH-0875,32.64,43.6,28.9,1.17,8.79,5019.0,4
HH-0791,30.44,53.8,21.0,1.33,8.54,4724.0,2
HH-0699,28.87,48.0,22.1,1.23,7.86,4485.0,2
HH-0834,28.12,46.8,25.9,1.15,7.7,4647.0,2
HH-0527,18.76,32.1,39.4,0.81,5.8,3079.0,0
HH-0003,6.21,26.8,24.2,0.97,1.76,534.0,0
HH-0107,6.33,26.9,19.3,1.09,2.26,921.0,0
HH-0467,19.06,28.1,45.9,0.8,5.65,3221.0,1
HH-0614,22.91,32.2,39.5,0.87,6.41,3242.0,2
HH-0596,22.66,27.5,45.5,0.91,5.6,3352.0,1
HH-0650,21.93,27.9,45.0,0.91,5.33,2911.0,2
HH-0461,21.36,28.5,37.1,0.96,6.81,2898.0,4
HH-0884,29.02,48.6,24.3,1.07,9.54,4425.0,2
HH-0291,11.33,51.8,15.1,1.11,4.86,1713.0,2
HH-0350,15.68,49.9,13.9,1.12,4.0,2166.0,2
HH-0696,31.76,51.1,26.9,1.14,9.23,4835.0,5
HH-0203,5.72,28.4,17.3,1.02,1.75,682.0,1
HH-0177,5.88,31.0,20.4,0.91,2.38,674.0,1
HH-0840,33.52,50.6,27.9,1.22,8.87,5114.0,2
HH-0168,8.46,24.9,16.7,1.08,1.58,786.0,2
HH-0119,7.22,28.8,23.1,0.94,1.75,1105.0,1
HH-0213,6.6,22.7,13.8,1.0,1.61,875.0,2
HH-0402,13.25,41.4,9.6,1.09,4.22,2118.0,1
HH-0267,12.17,46.2,15.3,1.06,4.53,1948.0,0
HH-0446,12.14,48.8,18.6,1.14,3.89,2028.0,2
HH-0114,6.48,34.1,14.7,1.0,2.91,842.0,0
HH-0683,28.4,45.3,26.5,1.28,8.46,4373.0,0
HH-0774,29.47,47.3,26.9,1.19,8.49,4327.0,3
HH-0306,16.06,48.0,12.1,1.16,3.76,2463.0,3
HH-0656,22.28,32.1,37.9,0.94,5.65,2889.0,1
HH-0590,23.11,42.8,42.1,0.87,5.65,3269.0,4
HH-0629,19.85,25.2,45.8,0.97,5.43,2745.0,1
HH-0295,12.08,53.2,12.2,1.14,4.25,1988.0,0
HH-0603,20.89,26.4,44.3,0.96,5.61,2651.0,2
HH-0718,29.52,42.3,26.9,1.35,7.83,4489.0,4
HH-0559,22.44,37.9,41.4,1.0,5.85,3331.0,2
HH-0832,30.58,49.7,21.0,1.31,7.98,4908.0,2
HH-0594,21.87,31.7,42.2,0.82,6.25,3066.0,4
HH-0627,18.5,27.2,40.8,0.91,5.86,2789.0,2
HH-0549,16.4,30.9,36.9,0.86,5.57,2728.0,1
HH-0529,19.65,22.7,44.7,0.82,6.39,2858.0,1
