Field_ID,Soil_pH,Moisture_Percent,Nitrogen_ppm,Phosphorus_ppm,Potassium_ppm,Organic_Carbon_Percent,Previous_Yield_ton_per_ha
FLD-0560,7.38,8.8,51.0,29.1,233.3,0.65,4.22
FLD-0170,5.63,31.0,30.0,22.1,156.6,0.83,3.12
FLD-0039,5.49,32.1,41.4,24.0,137.0,0.78,3.15
FLD-0478,7.29,14.9,59.1,41.1,259.1,0.35,3.87
FLD-0246,6.69,22.1,74.8,51.6,180.9,1.41,5.03
FLD-0299,6.62,22.5,74.0,50.8,208.5,1.33,5.87
FLD-0625,6.11,40.4,90.6,59.5,159.5,2.1,7.58
FLD-0512,7.8,17.8,42.3,34.9,282.0,0.62,3.97
FLD-0273,6.82,20.3,79.3,48.9,196.5,1.3,5.37
FLD-0604,6.3,48.0,93.5,58.9,187.5,1.85,8.17
FLD-0155,5.29,35.6,43.0,23.1,157.8,0.73,3.26
FLD-0127,5.14,27.2,32.3,25.7,172.4,0.64,1.82
FLD-0535,7.56,14.5,40.3,26.5,214.2,0.72,5.54
FLD-0342,6.84,27.6,78.6,36.2,217.7,0.92,5.97
FLD-0288,6.83,20.0,93.2,52.0,204.8,1.51,5.89
FLD-0114,5.1,32.6,44.1,13.3,147.8,0.9,3.78
FLD-0435,7.52,15.8,63.1,30.3,229.0,0.52,4.11
FLD-0174,5.31,30.4,35.3,8.1,125.2,0.39,1.96
FLD-0360,6.88,24.4,74.3,48.1,230.8,1.32,4.86
FLD-0513,7.84,22.5,44.8,32.2,230.6,0.51,3.97
FLD-0058,5.25,30.4,42.6,28.9,142.9,0.81,3.05
FLD-0516,7.98,10.7,64.7,35.7,244.3,0.73,3.58
FLD-0223,6.26,22.0,73.2,52.6,219.6,1.19,5.58
FLD-0281,6.7,22.0,76.8,46.6,191.8,1.31,5.93
FLD-0018,5.38,27.7,42.4,25.3,174.5,0.87,3.4
FLD-0480,7.52,14.9,31.4,27.3,235.6,0.43,4.09
FLD-0323,6.94,20.2,81.7,49.5,224.5,1.32,4.49
FLD-0256,6.99,27.5,66.3,49.8,223.3,0.92,5.8
FLD-0729,6.45,45.4,95.4,56.9,164.2,2.07,7.67
FLD-0719,6.12,37.5,109.6,51.7,200.9,1.93,7.79
FLD-0720,6.14,41.2,91.2,67.3,166.1,1.48,6.48
FLD-0191,6.12,20.6,86.0,49.6,212.4,1.55,6.06
FLD-0116,5.76,30.6,31.0,22.1,153.9,0.68,2.88
FLD-0734,6.15,38.0,92.1,59.8,174.2,1.85,7.35
FLD-0559,7.3,12.6,44.7,22.0,269.3,1.05,3.74
FLD-0095,5.79,30.0,27.5,23.9,133.8,0.66,3.16
FLD-0181,6.93,24.3,85.4,45.3,204.1,1.2,5.34
FLD-0302,6.36,21.4,80.7,50.3,213.9,1.38,5.91
FLD-0504,7.76,15.0,40.3,25.5,273.2,0.68,3.27
FLD-0553,7.27,12.5,56.3,41.0,250.7,0.71,4.01
FLD-0610,6.39,35.9,99.2,58.2,186.2,1.99,7.0
FLD-0522,7.64,20.4,53.4,39.6,249.6,0.76,4.4
FLD-0663,6.24,34.2,77.9,56.7,171.5,1.67,7.94
FLD-0599,6.26,36.8,97.2,75.7,198.1,1.93,7.42
FLD-0006,5.77,30.6,34.3,19.1,161.7,0.85,3.5
FLD-0736,6.18,43.1,96.9,63.0,156.5,2.07,7.05
FLD-0046,5.37,31.2,35.4,29.9,128.8,0.86,3.1
FLD-0474,7.93,15.4,54.1,37.5,260.5,0.58,3.63
FLD-0568,5.86,33.0,104.8,64.4,210.6,1.66,7.26
FLD-0172,5.19,35.8,32.5,16.1,141.2,0.8,3.14
FLD-0017,5.28,26.4,41.6,20.8,154.2,0.72,4.08
FLD-0049,5.26,32.0,50.2,27.7,108.8,0.77,3.24
FLD-0726,6.16,39.3,103.6,68.1,167.7,1.6,6.75
FLD-0711,6.1,33.5,110.9,46.6,172.0,1.67,7.18
FLD-0004,5.26,34.9,39.8,21.4,143.7,0.82,3.4
FLD-0540,7.9,19.5,45.5,25.6,253.3,0.6,2.96
FLD-0487,7.55,19.4,40.9,23.5,257.8,0.91,4.27
FLD-0317,7.01,29.7,72.1,48.1,205.2,1.2,5.44
FLD-0526,8.3,12.6,57.9,26.9,246.4,0.5,4.31
FLD-0448,7.85,18.1,47.6,31.3,233.8,0.52,3.38
FLD-0691,5.78,31.8,94.3,58.1,150.9,1.65,5.99
FLD-0284,6.49,24.1,77.0,43.3,199.8,1.26,5.38
FLD-0097,5.25,26.8,47.7,26.1,192.9,0.8,3.41
FLD-0286,6.76,25.0,78.3,44.8,244.9,1.14,5.43
FLD-0488,7.74,9.0,36.8,31.8,238.6,0.41,4.04
FLD-0226,6.3,24.1,87.2,34.7,211.2,1.43,5.72
FLD-0027,5.33,34.5,44.4,33.2,153.3,0.5,2.45
FLD-0591,6.43,35.5,105.8,62.6,161.0,1.67,7.86
FLD-0264,6.65,26.8,67.0,40.1,168.3,1.23,5.18
FLD-0438,7.66,19.8,54.6,45.8,248.1,0.56,4.0
FLD-0051,5.55,33.7,36.4,28.9,169.2,0.76,3.33
FLD-0365,6.16,25.6,65.6,47.4,197.2,0.84,6.01
FLD-0230,6.25,23.0,89.9,51.0,208.5,1.18,5.59
FLD-0038,5.07,30.2,38.9,25.4,140.0,0.8,3.76
FLD-0158,5.8,34.6,45.9,27.6,159.4,0.52,3.59
FLD-0238,6.69,31.6,70.2,47.4,237.4,1.43,5.42
FLD-0721,6.15,35.4,106.0,52.2,141.7,2.03,7.6
FLD-0375,6.43,29.3,73.5,43.9,232.7,1.26,5.5
FLD-0470,8.12,13.6,61.1,22.8,264.3,0.54,3.43
FLD-0371,6.42,30.9,82.8,52.3,176.1,1.07,6.48
FLD-0443,8.26,12.4,63.6,27.1,281.2,0.72,3.44
FLD-0723,6.16,37.9,100.8,60.7,181.3,1.79,6.52
FLD-0176,5.6,33.3,36.4,27.4,160.2,0.62,2.58
FLD-0638,6.21,39.2,102.6,69.5,168.9,1.96,7.4
FLD-0128,4.97,28.3,36.5,21.5,150.7,0.66,3.78
FLD-0555,7.39,16.9,49.1,39.4,250.8,0.83,3.58
FLD-0195,6.54,23.2,76.0,53.5,173.8,1.38,5.59
FLD-0640,6.4,35.8,107.1,64.5,170.7,1.92,7.31
FLD-0654,6.61,39.0,106.5,69.3,186.5,1.62,5.76
FLD-0502,7.88,17.7,44.7,34.1,219.9,0.5,4.59
FLD-0518,7.68,17.1,48.0,25.7,263.9,0.6,5.11
FLD-0528,8.13,18.3,52.3,19.4,221.2,0.84,3.57
FLD-0725,5.96,41.9,99.2,62.7,214.4,1.73,7.78
FLD-0626,5.53,33.2,101.9,60.2,156.2,2.13,7.27
FLD-0646,6.42,40.6,101.7,61.3,148.7,1.59,7.28
FLD-0068,5.18,32.1,37.7,22.3,153.3,0.83,3.01
FLD-0724,6.37,34.9,101.3,61.2,186.4,1.4,7.59
FLD-0484,7.84,22.0,47.6,30.6,252.7,0.61,3.72
FLD-0169,5.24,31.5,43.9,26.5,126.2,0.87,2.76
FLD-0445,7.39,13.4,54.9,38.3,274.1,0.75,4.16
FLD-0520,7.71,15.5,42.7,29.4,269.1,0.65,3.26
FLD-0163,5.4,35.1,41.5,24.2,148.4,0.72,4.15
FLD-0310,6.83,25.9,89.0,64.9,174.2,1.09,5.46
FLD-0194,6.81,19.9,81.8,59.5,213.4,1.15,5.52
FLD-0537,7.7,18.4,51.2,28.0,241.4,0.38,4.22
FLD-0366,6.54,17.3,85.7,56.6,231.8,1.28,5.83
FLD-0384,6.59,27.2,73.5,39.1,207.5,0.9,5.67
FLD-0677,6.78,30.8,99.9,63.0,165.9,1.94,7.55
FLD-0544,7.54,15.3,55.4,36.9,197.7,0.46,4.09
FLD-0153,5.27,30.8,32.4,26.7,176.0,0.71,3.09
FLD-0657,6.22,37.1,109.1,68.2,173.5,1.84,7.75
FLD-0536,7.65,10.7,60.2,26.6,268.4,0.56,3.65
FLD-0112,5.56,31.2,30.6,23.7,148.6,1.04,3.69
FLD-0227,6.8,21.8,78.0,38.3,162.8,1.39,5.26
FLD-0527,7.79,14.6,44.6,32.6,223.2,0.69,5.44
FLD-0699,6.21,43.1,101.6,70.1,190.1,1.52,6.49
FLD-0104,5.77,23.7,29.0,18.5,176.3,0.77,3.62
FLD-0422,7.87,18.3,62.4,24.0,258.6,0.56,2.62
FLD-0420,8.05,13.6,31.1,20.4,270.6,0.54,3.59
FLD-0120,5.34,28.6,33.8,22.0,175.7,1.05,3.02
FLD-0054,5.82,33.7,47.7,27.3,191.9,0.68,2.1
FLD-0152,5.57,31.4,44.6,23.1,176.2,0.64,3.82
FLD-0404,7.83,18.2,44.8,31.1,242.9,0.94,5.06
FLD-0706,5.96,38.8,89.6,67.2,162.8,1.85,6.81
FLD-0208,6.48,23.0,83.1,47.4,197.9,1.48,5.74
FLD-0633,5.87,40.3,104.4,54.7,176.6,1.51,7.07
FLD-0581,6.22,41.4,97.8,59.2,183.3,1.85,6.65
FLD-0009,5.37,35.8,34.1,29.8,119.7,0.66,3.29
FLD-0609,5.66,41.6,115.1,60.8,185.3,1.98,6.84
FLD-0037,5.93,27.8,39.0,28.7,157.8,0.65,3.13
FLD-0453,7.57,17.1,46.0,27.3,228.5,0.4,4.59
FLD-0254,6.67,19.9,92.6,54.7,210.3,0.98,5.92
FLD-0304,6.66,21.4,79.5,47.8,208.5,1.62,5.51
FLD-0569,6.24,37.2,109.0,67.7,185.9,1.73,6.9
FLD-0542,7.76,21.7,49.1,28.1,272.9,0.54,4.4
FLD-0550,8.27,16.3,34.3,30.4,294.3,0.77,3.55
FLD-0263,6.81,24.3,80.8,46.4,231.6,1.06,5.48
FLD-0298,6.39,25.3,82.1,41.1,207.9,1.4,6.23
FLD-0415,7.51,18.6,48.5,22.6,263.4,0.51,3.78
FLD-0151,5.1,30.3,41.9,38.7,125.2,0.98,3.28
FLD-0597,6.17,35.6,94.4,59.9,187.4,1.84,5.95
FLD-0667,6.31,35.8,123.2,68.3,203.5,1.92,8.12
FLD-0489,7.78,19.0,54.1,38.4,245.1,0.59,4.59
FLD-0148,5.74,34.8,42.6,21.0,158.7,0.62,3.2
FLD-0147,5.56,33.0,24.1,21.8,110.8,0.73,3.2
FLD-0551,7.92,13.6,42.2,28.9,246.6,0.27,3.37
FLD-0695,6.0,37.3,90.2,66.6,192.0,1.87,6.62
FLD-0577,6.31,39.9,97.2,64.0,219.6,1.78,6.72
FLD-0349,6.37,24.9,87.0,47.2,206.3,1.32,5.27
FLD-0464,7.51,16.8,55.1,33.9,251.1,0.46,3.26
FLD-0326,5.79,19.9,94.1,44.7,169.3,1.44,5.81
FLD-0187,6.82,26.4,77.0,33.1,187.1,1.44,4.27
FLD-0124,5.05,30.8,41.7,19.8,165.0,0.48,2.98
FLD-0639,6.15,37.0,122.4,58.1,185.4,1.64,8.08
FLD-0144,5.25,29.7,46.1,24.0,156.1,0.84,2.99
FLD-0716,5.7,32.7,106.4,58.1,185.4,1.92,6.4
FLD-0198,7.06,27.9,56.1,46.1,202.0,0.9,5.85
FLD-0280,6.47,24.7,70.8,53.4,183.4,1.17,5.48
FLD-0294,6.31,27.7,101.9,50.2,215.5,1.13,4.8
FLD-0401,7.68,19.1,60.0,25.1,229.6,0.63,4.95
FLD-0123,5.53,31.0,43.7,26.5,115.1,0.84,2.66
FLD-0184,6.04,17.6,85.4,48.4,209.5,0.98,5.79
FLD-0203,7.03,21.3,96.8,54.0,222.5,1.23,5.68
FLD-0439,7.82,17.4,69.6,25.9,260.5,0.65,3.14
FLD-0247,6.46,30.2,88.0,48.6,188.1,1.12,5.84
FLD-0416,7.76,19.7,53.2,23.8,254.8,0.52,5.04
FLD-0666,6.13,35.2,103.6,59.3,163.0,1.49,6.9
FLD-0130,5.89,29.0,57.5,22.6,127.0,0.73,2.61
FLD-0403,7.75,14.3,41.3,35.7,258.6,0.76,3.15
FLD-0649,5.89,39.0,94.1,67.1,199.0,1.83,6.08
FLD-0585,6.03,40.4,121.2,63.4,166.2,1.57,7.4
FLD-0680,5.75,43.7,98.1,64.0,195.4,1.6,6.8
FLD-0220,6.32,30.4,71.3,52.5,174.6,1.05,6.63
FLD-0715,6.16,35.1,100.9,61.2,167.5,1.86,7.23
FLD-0572,6.08,35.9,93.0,64.5,196.1,1.83,8.33
FLD-0685,6.7,39.9,89.2,44.3,193.2,1.76,7.73
FLD-0580,6.0,39.8,106.0,68.2,192.8,1.89,7.05
FLD-0387,6.88,27.8,80.7,46.9,212.2,0.7,5.97
FLD-0727,6.18,37.3,108.7,70.8,162.4,1.65,6.31
FLD-0510,7.7,20.4,66.4,35.3,223.6,0.7,4.47
FLD-0268,6.72,26.8,74.5,44.3,183.5,1.03,4.79
FLD-0618,7.0,35.7,103.8,54.0,182.1,1.61,6.86
FLD-0442,7.5,16.5,60.8,38.4,233.0,0.78,3.57
FLD-0497,8.06,17.8,42.5,34.7,206.5,0.57,4.63
FLD-0113,5.45,31.8,41.4,22.8,130.5,0.69,2.79
FLD-0233,6.7,27.6,60.2,57.5,211.8,1.41,5.13
FLD-0653,6.29,38.4,78.4,64.1,191.6,1.86,7.04
FLD-0374,6.88,22.1,75.9,36.9,192.8,1.22,6.31
FLD-0234,6.42,24.5,78.9,49.7,224.5,0.9,6.34
FLD-0594,6.56,39.2,96.3,58.9,169.9,1.85,7.84
FLD-0318,6.23,24.3,72.9,48.5,190.7,1.02,5.93
FLD-0411,7.23,13.8,44.4,19.6,247.1,0.21,3.27
FLD-0671,6.46,38.9,105.1,58.5,177.8,1.84,7.49
FLD-0359,7.08,25.1,86.2,46.2,194.2,1.53,5.92
FLD-0259,6.78,24.0,79.3,53.8,169.8,0.86,5.95
FLD-0283,6.27,26.5,63.9,49.3,233.4,1.31,5.89
FLD-0377,6.63,24.0,88.1,55.2,199.1,1.18,6.17
FLD-0385,7.01,17.9,68.8,41.8,203.9,1.15,6.57
FLD-0225,6.85,18.9,79.2,46.7,211.1,1.22,5.0
FLD-0712,6.31,41.6,97.3,66.5,183.5,1.47,8.15
FLD-0614,5.71,35.2,113.3,63.4,188.1,1.73,6.74
FLD-0473,8.5,17.7,56.9,35.2,226.8,0.53,3.72
FLD-0348,7.16,19.1,87.2,41.9,206.8,1.18,5.27
FLD-0506,7.38,19.0,50.3,36.2,230.3,0.64,4.19
FLD-0739,5.62,34.5,111.1,76.4,193.1,1.76,6.86
FLD-0693,6.14,40.8,110.2,66.8,166.7,1.78,6.92
FLD-0676,6.47,37.0,94.5,64.9,174.1,1.75,6.94
FLD-0641,6.21,37.9,106.4,64.4,181.1,1.66,8.03
FLD-0634,5.69,39.7,106.0,74.4,195.3,1.7,7.55
FLD-0557,7.09,12.6,58.0,21.4,220.4,0.93,3.65
FLD-0578,6.1,38.3,101.8,62.8,154.0,1.61,7.02
FLD-0086,5.33,29.3,47.5,25.4,118.1,0.81,2.88
FLD-0243,6.3,25.3,75.3,62.2,173.7,1.26,5.18
FLD-0160,5.38,31.3,41.6,30.8,143.5,0.78,2.66
FLD-0525,7.26,16.4,56.9,34.2,255.2,0.26,3.25
FLD-0036,5.09,27.5,55.7,41.4,128.9,0.65,3.39
FLD-0541,7.86,10.1,45.4,39.1,277.8,0.39,3.82
FLD-0171,5.88,34.2,38.9,28.5,184.8,1.07,2.52
FLD-0643,6.24,33.6,99.2,50.1,184.3,1.69,6.28
FLD-0635,5.76,34.9,105.7,50.1,179.3,1.6,7.16
FLD-0705,6.57,41.4,108.5,57.5,211.2,1.88,6.89
FLD-0096,4.97,25.8,44.9,20.9,103.8,0.86,3.35
FLD-0564,6.06,35.3,108.6,70.4,179.1,2.02,6.02
FLD-0241,6.23,20.7,74.7,55.4,193.5,1.34,5.5
FLD-0575,6.06,38.0,104.6,65.2,155.6,1.5,6.61
FLD-0461,8.15,16.3,39.7,19.9,249.6,0.5,3.5
FLD-0554,7.46,14.4,43.3,23.3,252.2,0.41,4.18
FLD-0659,5.85,42.2,93.9,60.4,181.8,2.14,6.87
FLD-0207,6.26,28.6,77.8,49.7,246.9,1.49,5.63
FLD-0393,8.04,19.7,61.4,28.2,242.0,0.74,4.22
FLD-0398,7.47,20.8,47.7,34.0,264.2,0.68,4.05
FLD-0636,5.85,39.4,103.2,71.4,180.1,1.64,6.96
FLD-0218,6.11,19.9,57.0,46.6,201.6,1.14,6.39
FLD-0005,5.57,32.4,58.1,21.6,140.8,0.57,3.54
FLD-0670,5.98,35.9,97.3,55.3,153.0,1.74,6.77
FLD-0613,6.04,43.4,97.3,58.9,177.7,1.85,6.86
FLD-0547,7.73,15.3,50.4,29.5,260.4,0.65,4.13
FLD-0099,5.67,35.8,37.3,21.5,155.7,0.68,3.72
FLD-0574,6.22,40.2,116.8,64.0,178.0,2.05,7.63
FLD-0407,7.91,18.3,47.7,24.7,234.8,0.5,4.43
FLD-0503,7.85,15.0,56.6,30.6,245.2,0.73,3.6
FLD-0048,5.3,35.8,46.1,19.8,131.8,0.73,2.53
FLD-0033,5.48,31.7,61.1,35.3,134.6,0.67,2.4
FLD-0201,6.98,23.0,77.4,45.1,194.5,1.35,5.94
FLD-0135,5.71,33.8,42.7,29.3,158.8,0.94,3.36
FLD-0028,5.91,36.5,39.6,21.7,176.3,0.52,2.71
FLD-0661,5.84,37.9,103.5,68.1,213.1,1.85,6.8
FLD-0231,6.73,23.2,78.7,48.5,192.8,1.32,7.4
FLD-0490,7.48,25.0,56.0,33.3,254.5,0.95,4.44
FLD-0379,7.11,22.4,81.3,62.4,186.0,0.88,6.51
FLD-0289,6.64,21.9,83.7,50.9,205.3,1.08,5.87
FLD-0419,7.97,16.9,42.2,29.1,231.6,0.77,4.65
FLD-0392,7.68,23.9,64.1,25.9,256.7,0.46,3.02
FLD-0593,6.55,32.1,103.8,75.0,177.9,1.47,6.88
FLD-0499,7.96,16.8,53.7,29.6,223.2,0.44,3.84
FLD-0139,5.38,28.6,48.4,24.2,144.9,0.7,3.32
FLD-0063,5.71,29.1,36.7,17.6,138.2,0.8,3.1
FLD-0472,7.73,14.6,54.2,34.3,282.1,0.78,4.54
FLD-0648,6.55,40.9,105.3,73.8,153.0,1.78,7.3
FLD-0129,5.26,28.2,44.8,14.8,157.0,0.74,3.12
FLD-0730,6.11,38.1,96.5,68.3,173.2,1.73,7.43
FLD-0521,7.31,21.3,52.3,27.1,240.1,0.34,4.78
FLD-0065,5.76,32.2,40.0,26.1,185.1,1.09,3.24
FLD-0015,5.56,28.1,38.0,31.8,143.6,0.85,2.69
FLD-0157,5.67,31.6,35.8,31.4,178.4,0.81,3.74
FLD-0041,5.58,25.4,48.4,26.7,130.0,0.64,3.35
FLD-0493,8.06,14.9,49.6,36.9,235.3,0.6,3.13
FLD-0380,6.42,23.9,74.3,49.6,187.9,1.19,6.05
FLD-0188,6.55,20.2,85.4,43.9,212.3,1.32,6.81
FLD-0217,6.9,17.6,65.5,49.3,192.1,1.46,5.63
FLD-0053,5.41,35.7,35.1,19.1,153.6,0.87,3.21
FLD-0338,7.09,29.0,71.0,45.9,213.6,1.68,6.61
FLD-0296,6.6,27.1,78.7,51.2,201.5,1.16,5.03
FLD-0252,7.28,20.7,79.6,40.9,191.0,1.11,5.22
FLD-0462,7.73,18.0,41.4,28.3,272.2,0.42,4.48
FLD-0456,7.37,12.9,47.2,28.9,220.5,0.35,3.55
FLD-0748,6.06,40.8,90.3,59.8,216.8,1.67,6.97
FLD-0270,6.68,17.6,81.1,41.6,208.6,0.94,6.1
FLD-0202,6.83,24.0,83.1,45.5,245.1,0.94,6.49
FLD-0162,5.42,30.2,24.2,18.6,145.3,0.6,3.96
FLD-0556,7.77,12.9,49.7,29.4,231.9,0.39,3.22
FLD-0402,7.21,16.9,42.0,27.2,238.4,0.53,3.71
FLD-0477,7.22,14.7,53.4,29.3,240.6,0.7,3.41
FLD-0106,5.49,33.5,47.5,14.3,109.5,0.9,3.85
FLD-0566,5.59,35.6,110.9,59.2,165.1,2.02,7.84
FLD-0390,6.7,22.1,76.0,42.6,201.9,1.55,5.1
FLD-0002,5.36,30.9,34.2,29.3,164.0,0.73,3.82
FLD-0713,5.75,39.3,106.1,64.7,171.1,1.93,6.24
FLD-0562,5.75,33.4,97.0,56.7,193.6,1.84,7.7
FLD-0081,5.43,32.1,41.4,19.4,166.2,0.85,3.11
FLD-0206,6.63,22.6,55.4,40.5,225.2,1.1,6.0
FLD-0035,5.15,29.3,34.0,23.4,118.4,0.46,4.37
FLD-0509,7.69,17.3,57.6,26.0,257.9,0.63,3.31
FLD-0428,8.14,18.1,66.0,30.6,288.0,0.52,3.58
FLD-0455,7.93,17.2,45.1,22.0,232.2,0.71,4.38
FLD-0367,7.02,29.4,88.1,42.4,208.6,1.3,4.8
FLD-0092,5.14,32.9,45.2,15.0,162.6,1.09,3.29
FLD-0340,7.1,22.9,59.5,51.0,192.4,1.23,5.75
FLD-0565,6.13,37.9,97.2,77.3,178.8,1.71,7.11
FLD-0346,7.03,21.6,73.9,51.7,163.1,0.88,5.65
FLD-0242,6.72,23.5,86.0,44.8,176.7,0.97,5.51
FLD-0014,5.42,29.6,40.4,13.9,124.0,0.48,2.65
FLD-0316,6.57,22.5,82.5,51.7,197.2,1.36,6.34
FLD-0601,5.92,31.6,107.3,75.7,205.0,1.73,7.1
FLD-0388,6.62,23.8,84.7,47.6,184.5,1.19,5.84
FLD-0274,6.79,25.8,55.7,55.1,150.1,1.11,6.36
FLD-0167,5.38,26.2,33.1,18.8,194.2,1.04,2.97
FLD-0744,6.02,35.0,93.5,53.1,175.8,1.52,6.55
FLD-0647,6.11,38.2,111.3,55.9,175.7,1.81,6.71
FLD-0485,7.32,14.4,44.4,20.6,230.7,0.42,4.32
FLD-0733,6.01,42.7,106.8,71.2,184.7,1.79,6.58
FLD-0505,7.32,15.6,65.5,29.9,268.5,0.67,4.26
FLD-0244,6.51,24.5,60.4,49.4,239.3,1.14,5.94
FLD-0567,6.29,36.5,101.1,58.2,162.1,1.59,6.76
FLD-0563,6.26,38.7,112.6,65.8,181.2,2.05,7.16
FLD-0687,6.15,41.1,99.3,55.0,215.6,1.67,6.79
FLD-0190,6.21,24.7,86.7,49.8,176.4,1.2,6.21
FLD-0700,5.92,35.3,102.3,66.7,202.6,1.84,6.85
FLD-0476,7.83,17.9,53.5,27.0,240.3,0.61,3.98
FLD-0682,6.45,33.2,115.8,64.2,132.3,1.72,7.46
FLD-0511,7.95,18.5,55.9,30.6,234.0,0.27,4.19
FLD-0059,5.42,33.7,25.1,16.2,123.3,0.3,2.83
FLD-0475,8.07,18.5,40.1,29.1,248.0,0.75,4.5
FLD-0561,6.24,37.0,94.2,67.0,180.2,1.94,7.53
FLD-0253,6.36,23.5,69.3,53.1,188.5,1.73,5.55
FLD-0022,5.41,34.4,42.3,23.0,131.4,0.42,2.93
FLD-0314,6.39,20.8,79.3,49.0,171.6,1.19,5.81
FLD-0460,7.46,19.3,56.7,23.1,266.7,1.01,4.55
FLD-0161,5.58,31.0,35.0,22.6,146.7,0.67,4.17
FLD-0277,6.41,28.1,68.2,57.6,204.4,1.01,5.43
FLD-0192,6.83,32.7,77.3,43.2,212.7,1.3,5.51
FLD-0386,6.92,25.6,80.2,50.4,189.5,1.37,5.19
FLD-0414,7.87,15.7,47.7,27.0,223.2,0.79,4.04
FLD-0492,7.78,15.1,68.4,42.9,245.8,0.62,3.79
FLD-0344,6.92,24.9,73.4,42.8,175.3,1.27,5.6
FLD-0309,6.74,21.4,84.4,43.5,195.6,1.05,6.52
FLD-0662,6.37,35.8,94.7,52.4,151.8,1.62,6.45
FLD-0131,5.24,32.3,45.4,20.3,167.8,0.93,3.99
FLD-0664,5.98,40.8,102.8,62.7,165.0,1.77,6.68
FLD-0100,4.82,28.4,34.7,10.1,132.7,0.56,3.09
FLD-0373,6.98,21.1,71.1,46.8,219.9,0.98,4.88
FLD-0088,5.6,27.7,42.9,15.5,158.0,0.57,2.49
FLD-0459,7.88,17.0,61.2,27.7,245.7,0.6,4.39
FLD-0331,6.88,24.9,90.0,48.3,213.9,1.29,5.64
FLD-0215,6.85,20.2,74.5,44.3,228.9,1.28,5.68
FLD-0467,7.84,21.2,49.1,33.4,195.5,0.6,3.83
FLD-0122,5.69,28.7,48.8,21.8,141.2,0.88,3.22
FLD-0615,6.62,37.4,99.5,69.6,167.0,1.67,7.11
FLD-0021,5.57,27.8,23.9,25.6,135.4,0.65,2.86
FLD-0701,5.57,38.2,103.2,64.1,217.9,2.0,7.53
FLD-0072,5.36,24.6,29.0,32.2,166.1,0.59,2.37
FLD-0107,5.16,25.0,41.8,29.6,182.4,0.81,3.0
FLD-0271,6.94,21.5,69.9,35.1,200.2,1.12,4.95
FLD-0436,7.65,17.6,57.2,36.3,270.6,0.79,3.49
FLD-0103,5.39,27.1,28.5,28.1,143.7,0.54,3.15
