Product_ID,Annual_Units_Sold,Average_Unit_Price_INR,Annual_Revenue_Lakh_INR,Gross_Margin_Percent,Return_Rate_Percent,Stockout_Days_Per_Year,Supplier_Lead_Time_Days,Average_Customer_Rating
PRD-0775,3605,904.0,32.6,35.5,5.8,11,34,4.48
PRD-0852,4411,970.0,42.79,27.9,7.5,13,29,4.27
PRD-0689,795,1305.0,10.37,20.4,15.4,11,21,3.52
PRD-0378,116,7210.0,8.36,43.0,5.1,0,27,4.2
PRD-0872,3022,699.0,21.11,31.9,3.9,12,31,4.18
PRD-0016,1995,432.0,8.61,19.9,1.6,1,3,3.88
PRD-0269,188,4750.0,8.93,30.9,4.3,1,26,4.14
PRD-0100,2140,302.0,6.46,17.5,0.2,2,12,4.56
PRD-0089,1183,345.0,4.08,16.4,0.4,1,3,4.33
PRD-0963,3318,805.0,26.7,30.1,4.1,4,32,4.19
PRD-0514,698,988.0,6.9,23.9,15.7,7,12,3.2
PRD-0568,539,1135.0,6.12,24.2,21.1,5,12,3.39
PRD-0942,2413,1179.0,28.46,35.4,2.1,11,32,3.95
PRD-0224,2388,435.0,10.39,22.3,0.2,5,6,4.38
PRD-0389,211,4611.0,9.73,45.2,7.4,1,24,4.07
PRD-0758,2624,1190.0,31.23,32.2,5.7,17,41,4.0
PRD-0901,2444,1095.0,26.77,31.8,5.7,8,28,4.63
PRD-0678,594,1319.0,7.84,23.7,17.9,11,18,3.35
PRD-0382,95,8758.0,8.32,40.0,10.7,1,24,4.28
PRD-0429,219,5200.0,11.39,38.8,9.5,2,22,4.28
PRD-0477,159,7839.0,12.46,38.7,9.0,2,21,3.95
PRD-0850,2502,1035.0,25.89,27.8,5.7,15,28,4.17
PRD-0788,3496,756.0,26.43,33.5,3.6,10,28,3.96
PRD-0748,327,1001.0,3.27,22.4,16.4,7,15,2.92
PRD-0084,2689,442.0,11.89,20.0,7.4,0,8,4.36
PRD-0549,981,1474.0,14.46,20.5,17.3,5,16,2.99
PRD-0552,1028,1131.0,11.63,26.8,17.7,12,16,3.15
PRD-0255,2337,492.0,11.49,10.1,1.8,3,10,4.57
PRD-0967,2728,855.0,23.33,33.1,6.9,8,28,4.07
PRD-0208,2256,421.0,9.5,22.2,4.6,2,6,4.39
PRD-0911,3106,1079.0,33.51,29.4,4.3,16,30,3.7
PRD-0228,2364,496.0,11.73,16.8,0.4,3,7,4.37
PRD-0873,2088,815.0,17.01,34.8,1.8,7,28,3.78
PRD-0508,471,1162.0,5.47,24.0,14.4,9,16,3.36
PRD-0209,1848,367.0,6.77,15.4,1.3,1,6,4.14
PRD-0360,203,7221.0,14.66,35.5,9.2,1,23,4.08
PRD-0245,2565,432.0,11.08,21.4,2.1,2,7,4.33
PRD-0501,600,1291.0,7.75,24.7,15.1,6,13,3.19
PRD-0075,2056,436.0,8.96,14.4,0.6,4,10,4.5
PRD-0114,1629,598.0,9.74,21.4,4.8,3,5,4.62
PRD-0987,3016,1160.0,34.98,34.9,4.8,10,32,4.0
PRD-0574,758,1434.0,10.87,24.7,20.8,12,13,3.58
PRD-0867,1451,816.0,11.84,29.8,9.2,8,36,4.09
PRD-0342,172,5207.0,8.96,38.7,6.2,0,22,3.77
PRD-0581,720,1323.0,9.52,18.0,17.5,5,13,3.2
PRD-0961,2767,1007.0,27.86,27.5,0.6,11,29,3.93
PRD-0117,2017,418.0,8.42,24.8,1.6,5,8,4.31
PRD-0055,2021,432.0,8.72,20.8,5.4,7,8,4.5
PRD-0964,3512,803.0,28.2,35.7,3.0,17,28,4.38
PRD-0230,2216,417.0,9.25,15.3,2.1,4,8,4.25
PRD-0323,186,7464.0,13.88,42.0,8.7,1,22,4.48
PRD-0256,1550,434.0,6.72,16.9,1.4,0,11,4.26
PRD-0473,188,7453.0,14.01,35.7,8.1,2,27,3.87
PRD-0469,124,5765.0,7.15,39.3,9.7,0,22,4.24
PRD-0448,89,7420.0,6.6,37.3,10.6,2,25,4.14
PRD-0355,156,6979.0,10.89,36.2,11.8,1,27,4.07
PRD-0613,849,1310.0,11.12,15.0,16.7,6,14,2.93
PRD-0384,186,8056.0,14.98,41.3,5.7,0,16,4.04
PRD-0794,3487,1067.0,37.22,30.9,6.2,14,26,3.75
PRD-0096,1123,312.0,3.51,14.9,3.3,1,10,4.44
PRD-0234,2479,362.0,8.97,19.0,8.0,4,4,4.25
PRD-0814,2200,1063.0,23.4,30.5,8.0,14,34,4.19
PRD-0804,2521,1048.0,26.42,32.3,4.7,10,33,3.74
PRD-0986,2947,998.0,29.42,36.3,4.6,11,27,4.25
PRD-0822,2681,729.0,19.55,35.5,7.9,9,31,3.89
PRD-0554,842,1251.0,10.54,21.1,17.0,12,16,3.14
PRD-0072,1519,326.0,4.95,18.5,0.5,4,3,4.78
PRD-0854,3144,883.0,27.75,31.6,5.7,16,33,4.18
PRD-0978,2783,1283.0,35.71,27.3,6.1,13,29,3.92
PRD-0664,697,1129.0,7.87,26.0,14.5,9,13,2.95
PRD-0698,533,1702.0,9.07,23.8,12.9,10,14,3.29
PRD-0747,736,1153.0,8.49,22.0,13.2,7,12,3.38
PRD-0810,2638,866.0,22.86,24.6,1.6,15,34,3.64
PRD-0883,2748,940.0,25.83,30.5,4.7,8,32,3.96
PRD-0109,1068,416.0,4.44,19.4,4.2,3,7,4.27
PRD-0841,2930,836.0,24.49,25.2,5.7,12,27,4.2
PRD-0306,148,7522.0,11.13,40.4,4.6,0,19,4.16
PRD-0751,593,1285.0,7.62,23.8,16.0,9,18,3.13
PRD-0322,171,7655.0,13.09,38.3,5.9,1,26,4.16
PRD-0037,2169,595.0,12.92,13.2,2.4,5,4,4.41
PRD-0572,774,1269.0,9.82,23.5,15.8,7,8,3.47
PRD-0350,181,6493.0,11.75,36.8,7.6,2,22,4.12
PRD-0924,2607,983.0,25.61,32.0,3.2,12,28,3.93
PRD-0856,4001,1076.0,43.06,31.9,4.1,7,35,4.29
PRD-0755,544,1259.0,6.85,30.5,17.9,9,11,3.14
PRD-0253,2051,391.0,8.02,22.2,4.0,1,13,4.24
PRD-0095,856,340.0,2.91,22.3,5.7,3,4,4.25
PRD-0512,630,1525.0,9.61,17.5,19.6,5,13,3.44
PRD-0576,1047,1097.0,11.48,21.5,17.0,7,16,3.25
PRD-0889,3691,1022.0,37.73,29.9,7.6,14,32,4.16
PRD-0291,180,7368.0,13.26,40.7,5.2,1,24,4.3
PRD-0892,2530,752.0,19.02,33.7,9.5,12,36,3.96
PRD-0670,694,1231.0,8.54,21.4,16.6,10,10,2.99
PRD-0570,545,1231.0,6.71,21.8,17.4,4,15,3.21
PRD-0387,174,8643.0,15.04,36.9,10.0,3,23,3.98
PRD-0815,4131,1475.0,60.94,31.0,7.1,9,42,3.7
PRD-0475,170,8291.0,14.09,44.4,9.4,2,22,4.26
PRD-0341,123,4984.0,6.13,36.6,7.8,2,27,4.35
PRD-0010,1837,375.0,6.88,17.6,4.3,4,11,3.96
PRD-0116,1638,414.0,6.77,20.1,5.7,10,10,4.23
PRD-0547,680,1399.0,9.52,22.0,14.5,7,20,2.97
PRD-0288,149,6488.0,9.67,34.8,5.5,1,26,4.49
PRD-0869,2123,792.0,16.82,27.8,3.4,8,31,3.93
PRD-0440,198,6173.0,12.22,36.7,13.1,0,23,4.39
PRD-0240,1898,381.0,7.23,17.2,4.2,2,5,4.5
PRD-0631,617,1121.0,6.92,27.8,14.7,7,13,3.36
PRD-0154,1426,416.0,5.93,18.7,3.5,5,10,4.49
PRD-0800,4664,1006.0,46.94,31.3,6.7,11,33,4.22
PRD-0008,1835,482.0,8.85,15.2,5.3,5,15,4.07
PRD-0172,1492,482.0,7.19,22.8,1.8,3,12,4.31
PRD-0809,3021,646.0,19.51,30.9,4.3,6,31,4.05
PRD-0913,2952,703.0,20.75,27.2,3.8,7,32,4.07
PRD-0734,675,1379.0,9.31,21.6,19.5,7,17,3.33
PRD-0813,2694,850.0,22.91,29.8,3.9,21,34,3.88
PRD-0155,2125,372.0,7.91,22.8,2.6,1,5,4.37
PRD-0509,757,1152.0,8.72,23.0,16.8,9,20,3.41
PRD-0147,1720,350.0,6.02,17.3,4.2,1,11,4.25
PRD-0649,500,1265.0,6.32,17.8,15.4,4,12,3.22
PRD-0217,1613,456.0,7.36,13.5,2.1,2,8,4.36
PRD-0583,520,1523.0,7.92,22.0,16.1,9,19,3.51
PRD-0752,830,1256.0,10.43,21.2,18.1,11,17,3.49
PRD-0265,96,6479.0,6.22,35.9,11.8,1,22,4.02
PRD-0971,2928,658.0,19.27,36.4,6.3,13,29,3.53
PRD-0009,1774,510.0,9.05,18.2,7.1,4,8,4.18
PRD-0691,795,1423.0,11.31,25.2,14.9,10,19,3.23
PRD-0500,164,8807.0,14.44,34.1,8.8,1,20,3.82
PRD-0623,596,1294.0,7.71,26.6,14.6,10,16,3.37
PRD-0996,4426,1040.0,46.01,28.9,5.0,14,26,4.16
PRD-0793,2552,674.0,17.19,30.0,5.5,14,29,4.1
PRD-0890,3386,887.0,30.02,35.6,5.8,10,25,3.66
PRD-0164,2653,354.0,9.4,13.6,0.2,1,15,4.39
PRD-0528,729,1677.0,12.22,23.9,17.4,8,13,3.22
PRD-0411,115,9283.0,10.68,38.7,9.9,0,25,4.09
PRD-0860,4514,1015.0,45.81,33.2,3.4,14,25,3.87
PRD-0284,197,8362.0,16.47,33.2,9.2,0,19,4.03
PRD-0334,142,6012.0,8.54,32.7,9.3,0,24,4.14
PRD-0599,532,1030.0,5.48,23.2,16.9,11,12,3.51
PRD-0798,4379,794.0,34.77,34.8,3.4,18,29,4.15
PRD-0063,1262,429.0,5.41,12.9,4.7,5,9,4.07
PRD-0686,673,823.0,5.54,24.6,16.7,5,11,3.35
PRD-0364,212,6455.0,13.69,41.5,5.8,3,18,3.81
PRD-0953,2586,738.0,19.09,20.5,6.3,13,30,4.18
PRD-0453,117,6571.0,7.69,36.0,8.1,0,23,4.04
PRD-0359,206,6034.0,12.43,39.8,9.1,1,19,4.18
PRD-0435,100,5915.0,5.91,40.5,10.4,1,25,4.11
PRD-0459,98,5769.0,5.65,31.7,7.2,2,24,4.31
PRD-0968,2427,948.0,23.02,35.2,7.2,15,32,4.23
PRD-0031,1223,632.0,7.73,13.8,0.2,0,11,4.72
PRD-0853,2904,1111.0,32.27,29.3,7.6,13,34,4.0
PRD-0976,3548,859.0,30.46,31.6,1.2,12,32,3.77
PRD-0374,150,6621.0,9.93,35.7,9.4,0,24,4.06
PRD-0749,784,1189.0,9.32,29.4,16.4,9,18,3.3
PRD-0454,164,6190.0,10.15,38.0,7.7,1,19,3.93
PRD-0783,2970,886.0,26.32,33.4,2.4,12,31,4.15
PRD-0878,3277,966.0,31.66,34.4,5.5,19,30,3.77
PRD-0363,127,8546.0,10.85,40.9,7.0,2,30,3.64
PRD-0487,186,5880.0,10.94,39.2,6.8,1,22,4.25
PRD-0024,1692,382.0,6.47,18.9,6.1,4,7,4.48
PRD-0020,2291,458.0,10.5,21.5,1.7,3,6,4.42
PRD-0215,1726,515.0,8.89,19.4,3.1,0,6,4.52
PRD-0529,659,1358.0,8.95,23.7,15.0,10,14,3.08
PRD-0032,1945,465.0,9.05,20.7,2.0,5,10,4.43
PRD-0481,114,8272.0,9.43,35.3,7.0,0,25,4.31
PRD-0668,1189,993.0,11.81,27.6,13.6,7,12,3.1
PRD-0142,2609,415.0,10.83,13.8,0.4,2,5,4.06
PRD-0017,2364,401.0,9.47,23.3,3.0,5,16,4.47
PRD-0746,877,985.0,8.63,21.7,17.1,6,12,3.36
PRD-0118,1901,334.0,6.34,16.2,2.3,4,6,4.29
PRD-0909,3738,1016.0,37.99,32.4,6.2,13,28,4.06
PRD-0426,145,8801.0,12.76,41.5,5.2,0,27,4.18
PRD-0069,1534,356.0,5.46,18.9,2.7,8,8,4.29
PRD-0766,4427,862.0,38.14,29.4,3.1,12,34,4.04
PRD-0993,1446,917.0,13.27,30.3,5.6,15,31,4.8
PRD-0294,168,6012.0,10.1,32.3,7.8,1,22,4.17
PRD-0564,614,1277.0,7.84,26.8,18.9,5,10,3.02
PRD-0213,1973,352.0,6.94,21.3,2.3,5,11,4.37
PRD-0851,2674,1002.0,26.8,32.0,2.6,21,32,3.83
PRD-0894,2745,1017.0,27.91,33.6,6.8,10,30,4.0
PRD-0672,560,1306.0,7.31,25.9,18.6,12,15,3.24
PRD-0148,2028,279.0,5.65,16.5,3.6,1,7,4.3
PRD-0001,1826,429.0,7.83,25.4,4.9,3,8,4.44
PRD-0276,137,8127.0,11.13,41.6,3.0,0,28,4.31
PRD-0232,2145,290.0,6.23,16.3,7.1,3,4,4.33
PRD-0827,3379,1188.0,40.13,28.8,2.7,9,35,3.75
PRD-0663,640,1280.0,8.19,21.9,14.8,7,14,3.46
PRD-0912,2601,851.0,22.13,24.9,8.4,15,28,3.95
PRD-0438,147,7412.0,10.9,38.8,10.9,0,20,4.03
PRD-0506,504,1329.0,6.7,21.4,18.6,6,17,2.84
PRD-0722,986,1216.0,11.99,25.4,17.3,4,9,3.04
PRD-0104,1630,441.0,7.19,15.8,4.9,2,3,4.09
PRD-0609,917,1279.0,11.73,27.4,17.9,13,13,3.12
PRD-0227,1278,359.0,4.59,20.0,2.4,2,7,4.44
PRD-0579,828,970.0,8.03,22.0,14.8,6,13,3.16
PRD-0665,709,1030.0,7.3,18.6,14.9,11,15,3.36
PRD-0385,189,5623.0,10.63,41.6,7.7,3,27,4.26
PRD-0070,2192,375.0,8.21,22.5,0.2,2,9,4.26
PRD-0129,2482,502.0,12.45,14.3,2.2,3,6,4.42
PRD-0216,2106,292.0,6.15,23.0,2.3,3,8,4.25
PRD-0781,2827,744.0,21.02,36.1,5.3,18,27,3.88
PRD-0944,2296,1051.0,24.13,28.1,0.2,14,27,4.03
PRD-0167,1791,354.0,6.33,20.8,6.6,2,10,4.58
PRD-0941,3715,768.0,28.51,29.1,9.2,11,30,4.04
PRD-0759,2789,982.0,27.38,28.0,5.1,15,30,3.85
PRD-0865,1982,809.0,16.02,30.0,7.5,18,32,4.61
PRD-0074,1391,438.0,6.09,22.1,0.2,2,7,4.45
PRD-0962,3132,583.0,18.26,36.5,3.7,10,30,3.93
PRD-0716,575,1150.0,6.61,22.1,13.3,9,16,3.18
PRD-0238,2131,492.0,10.49,20.2,0.2,3,6,4.52
PRD-0979,4024,858.0,34.52,32.0,5.3,10,32,4.11
PRD-0099,2103,414.0,8.71,19.8,3.6,0,9,4.32
PRD-0348,166,7317.0,12.15,36.9,9.6,1,28,4.15
PRD-0106,1455,450.0,6.55,24.0,0.2,0,10,4.26
PRD-0845,2599,1063.0,27.62,26.7,3.5,7,25,4.02
PRD-0483,171,6593.0,11.27,36.1,7.9,1,20,4.23
PRD-0352,157,6766.0,10.62,36.2,6.4,2,23,4.26
PRD-0122,1574,300.0,4.72,19.0,4.2,5,10,4.29
PRD-0896,2791,663.0,18.52,24.9,8.0,9,30,4.11
PRD-0403,204,5729.0,11.69,33.3,8.9,2,23,4.1
PRD-0943,1941,1120.0,21.75,38.8,4.2,11,33,4.07
PRD-0767,3237,802.0,25.95,27.6,4.0,9,31,4.14
PRD-0297,163,6847.0,11.16,38.6,5.5,1,26,3.95
PRD-0870,2921,977.0,28.54,32.1,5.8,9,27,4.42
PRD-0636,643,1468.0,9.44,29.4,11.8,5,14,3.52
PRD-0139,2122,533.0,11.31,15.5,6.1,3,14,4.37
PRD-0214,1615,344.0,5.56,23.5,2.2,3,8,4.46
PRD-0602,525,1243.0,6.53,28.4,19.1,7,18,3.07
PRD-0531,1251,1202.0,15.04,23.6,18.0,8,15,3.39
PRD-0675,708,1049.0,7.42,25.7,17.7,5,17,3.24
PRD-0995,2709,823.0,22.29,23.3,4.6,7,31,3.69
PRD-0933,4718,679.0,32.05,36.9,5.4,9,30,4.17
PRD-0262,153,6381.0,9.76,40.2,7.9,1,22,4.3
PRD-0153,2466,391.0,9.64,21.7,1.9,5,6,4.41
PRD-0239,1771,408.0,7.22,13.9,0.2,1,6,4.07
PRD-0207,1046,339.0,3.54,22.2,4.2,1,15,3.88
PRD-0317,108,6659.0,7.19,36.6,9.5,0,23,4.06
PRD-0179,1284,411.0,5.27,21.9,0.2,2,8,4.28
PRD-0430,172,8159.0,14.03,33.6,7.8,1,28,4.11
PRD-0002,1289,279.0,3.6,20.1,1.7,1,4,4.11
PRD-0984,2577,771.0,19.86,33.9,6.8,16,33,4.24
PRD-0308,188,8196.0,15.41,41.3,7.0,0,25,3.88
PRD-0312,137,6614.0,9.06,36.0,11.9,1,27,3.93
PRD-0919,3577,643.0,23.0,33.4,6.1,10,33,3.95
PRD-0848,3156,836.0,26.37,41.2,0.7,12,34,3.81
PRD-0098,1532,370.0,5.67,19.0,3.9,1,6,4.55
PRD-0733,737,929.0,6.85,28.3,18.3,7,13,3.29
PRD-0039,1943,367.0,7.12,15.4,3.9,5,3,4.37
PRD-0243,1994,495.0,9.88,21.6,2.7,4,5,4.43
PRD-0832,3755,977.0,36.7,24.2,10.5,12,32,4.48
PRD-0019,1999,371.0,7.41,12.9,0.9,2,4,4.53
PRD-0102,1917,423.0,8.1,18.1,1.8,4,8,4.46
PRD-0014,1722,403.0,6.94,19.6,3.8,7,7,4.22
PRD-0555,732,1363.0,9.98,23.8,15.5,5,9,3.41
PRD-0370,148,8451.0,12.51,35.6,11.9,1,25,4.0
PRD-0882,4113,972.0,39.98,35.2,9.0,14,29,3.89
PRD-0369,161,6937.0,11.17,39.1,6.5,0,24,4.46
PRD-0725,621,1104.0,6.86,18.1,17.6,5,13,3.26
PRD-0544,502,1033.0,5.18,25.2,15.6,5,15,3.31
PRD-0193,1905,330.0,6.29,22.6,3.8,4,11,4.59
PRD-0905,3343,1114.0,37.24,30.4,0.6,10,33,4.14
PRD-0608,725,1091.0,7.91,27.1,17.9,6,18,3.28
PRD-0684,536,1499.0,8.03,22.5,14.4,7,9,3.39
PRD-0768,3462,1324.0,45.83,30.9,4.9,14,30,4.19
PRD-0519,614,1049.0,6.44,26.1,19.5,4,10,3.22
PRD-0774,2836,943.0,26.73,33.1,7.7,15,29,4.16
PRD-0354,177,7646.0,13.53,40.8,8.2,1,22,4.15
PRD-0536,1080,1194.0,12.9,25.7,17.8,5,16,3.21
PRD-0441,215,7353.0,15.81,43.1,6.5,1,25,4.14
PRD-0410,168,5667.0,9.52,41.6,6.7,0,29,4.31
PRD-0594,468,1396.0,6.53,27.1,18.7,4,17,3.27
PRD-0940,4010,1217.0,48.81,29.9,4.9,11,30,4.06
PRD-0705,871,1247.0,10.86,25.4,19.6,6,17,3.2
PRD-0076,2259,345.0,7.79,21.1,0.2,5,7,4.55
PRD-0400,170,4540.0,7.72,38.0,8.2,1,20,4.05
PRD-0634,869,1024.0,8.9,21.2,15.0,7,16,3.24
PRD-0314,145,5757.0,8.35,34.6,9.4,2,24,4.22
PRD-0787,4643,1020.0,47.37,26.0,5.4,13,30,4.18
PRD-0560,648,1194.0,7.74,28.0,16.5,15,15,3.23
PRD-0862,2166,1163.0,25.19,29.5,9.5,8,31,4.18
PRD-0834,2222,1079.0,23.98,32.7,8.4,13,32,3.92
PRD-0916,5672,804.0,45.63,37.3,4.8,14,26,4.3
PRD-0299,179,6316.0,11.31,32.4,11.7,0,23,4.24
PRD-0399,209,5609.0,11.72,30.5,8.3,0,21,3.91
PRD-0530,678,1126.0,7.63,26.2,15.6,6,19,3.35
PRD-0721,840,1257.0,10.56,24.4,19.7,9,14,3.44
PRD-0327,116,8465.0,9.82,37.6,10.2,0,23,3.99
PRD-0735,580,1025.0,5.95,25.2,19.8,17,10,2.95
PRD-0657,608,1389.0,8.44,24.5,18.5,9,15,2.96
PRD-0417,195,6784.0,13.23,38.7,6.4,1,20,4.08
PRD-0887,2140,738.0,15.79,31.0,5.8,14,30,3.98
PRD-0168,2552,563.0,14.38,20.4,4.5,4,10,4.27
PRD-0763,1922,1066.0,20.48,30.5,1.6,16,31,4.26
PRD-0064,1944,457.0,8.89,17.1,4.0,1,13,4.35
PRD-0442,158,6117.0,9.66,40.3,10.3,2,22,3.95
PRD-0229,2361,486.0,11.48,21.0,5.0,3,7,4.6
PRD-0868,2443,752.0,18.36,28.6,6.6,14,31,4.11
PRD-0957,3226,909.0,29.33,28.8,2.1,7,36,4.13
PRD-0745,540,1299.0,7.02,24.7,14.4,15,8,3.3
PRD-0587,731,1425.0,10.41,22.6,17.8,8,5,3.13
PRD-0437,133,6362.0,8.46,36.8,4.1,2,29,4.18
PRD-0934,3594,927.0,33.31,31.6,2.5,12,40,4.04
PRD-0742,1042,1308.0,13.63,22.5,16.3,4,8,2.99
PRD-0829,3577,769.0,27.52,28.4,8.4,5,30,4.35
PRD-0036,2436,479.0,11.67,18.0,0.9,2,3,4.37
PRD-0947,2956,712.0,21.04,33.7,6.9,14,32,4.11
PRD-0088,1295,331.0,4.28,17.1,0.9,5,6,4.76
PRD-0948,2623,786.0,20.6,34.8,2.7,15,31,4.03
PRD-0331,169,7014.0,11.85,33.4,9.4,1,23,4.38
PRD-0661,793,1575.0,12.49,23.8,12.5,5,14,3.78
PRD-0111,1551,570.0,8.85,16.1,3.2,1,8,4.44
PRD-0847,1944,723.0,14.06,28.0,8.6,13,31,4.15
PRD-0457,239,6149.0,14.7,35.5,7.5,0,21,4.18
PRD-0093,1066,427.0,4.55,14.7,1.0,3,12,4.57
PRD-0290,291,5976.0,17.39,43.2,7.2,0,19,4.13
PRD-0875,2177,606.0,13.2,32.2,7.5,13,31,4.14
PRD-0194,1954,406.0,7.93,17.5,3.7,1,14,4.38
PRD-0358,198,6922.0,13.71,33.3,8.5,2,28,4.21
PRD-0362,187,6280.0,11.74,37.9,12.0,2,25,4.22
PRD-0677,884,1021.0,9.02,26.8,19.8,10,23,2.99
PRD-0351,257,5346.0,13.74,36.5,10.9,2,21,4.15
PRD-0880,3429,917.0,31.45,35.6,2.5,10,26,4.15
PRD-0336,108,4921.0,5.31,34.3,11.8,2,24,4.14
PRD-0551,729,1649.0,12.02,20.0,16.5,5,12,3.39
PRD-0251,1821,549.0,10.0,18.2,8.8,2,8,4.65
PRD-0926,2935,1058.0,31.06,28.0,0.7,10,27,3.83
PRD-0343,112,4564.0,5.11,37.5,6.9,0,22,3.96
PRD-0130,2008,387.0,7.76,21.9,3.8,5,6,4.39
PRD-0081,1714,523.0,8.96,19.6,2.7,1,9,4.75
PRD-0729,701,1018.0,7.14,25.7,15.4,9,16,3.2
PRD-0420,129,7645.0,9.86,35.9,5.0,0,23,4.09
PRD-0819,3957,588.0,23.26,29.8,7.9,16,31,4.24
PRD-0205,1420,457.0,6.48,22.3,4.8,3,13,4.1
PRD-0806,2956,1034.0,30.56,33.9,4.2,12,29,3.7
PRD-0704,711,1036.0,7.37,26.8,17.4,11,14,3.19
PRD-0791,2278,726.0,16.54,31.7,3.0,10,34,4.12
PRD-0526,707,1331.0,9.41,26.3,17.0,5,17,3.24
PRD-0080,1769,444.0,7.86,19.9,2.8,3,6,4.32
PRD-0445,201,5602.0,11.26,41.7,7.8,1,23,3.9
PRD-0053,2595,385.0,10.0,20.9,2.7,3,7,4.17
PRD-0647,640,1135.0,7.27,29.4,15.4,4,8,3.39
PRD-0062,2153,421.0,9.06,20.1,0.2,3,8,4.45
PRD-0532,849,1009.0,8.57,26.9,17.3,10,14,2.96
PRD-0266,135,8593.0,11.6,40.0,10.9,0,26,4.16
PRD-0776,2269,766.0,17.38,30.3,4.0,18,27,4.08
PRD-0548,960,969.0,9.3,22.1,17.2,8,17,3.21
PRD-0035,1976,584.0,11.54,19.6,2.7,1,11,4.22
PRD-0991,2920,686.0,20.04,32.8,2.6,10,33,4.32
PRD-0881,3689,952.0,35.11,27.8,6.8,11,35,4.07
PRD-0415,140,9808.0,13.73,37.2,5.0,2,27,3.85
PRD-0593,557,1129.0,6.29,16.7,18.6,3,17,3.25
PRD-0007,2579,463.0,11.95,18.7,1.8,2,10,4.5
PRD-0966,3359,726.0,24.39,29.3,4.1,9,27,4.17
PRD-0682,504,998.0,5.03,27.6,19.1,7,14,3.28
PRD-0150,2087,430.0,8.98,13.2,4.1,1,9,3.75
PRD-0244,1955,420.0,8.21,15.2,3.8,3,3,4.31
PRD-0460,149,5295.0,7.89,37.0,11.6,0,29,4.38
PRD-0886,3399,1016.0,34.54,32.1,7.9,10,32,4.07
PRD-0807,3729,983.0,36.66,37.2,4.8,11,32,4.15
PRD-0295,188,7386.0,13.88,27.9,9.9,0,20,4.08
PRD-0837,2346,786.0,18.44,32.8,2.1,17,28,4.2
PRD-0958,6199,876.0,54.31,33.8,8.1,17,34,4.01
PRD-0621,496,1281.0,6.35,26.5,14.6,6,17,3.08
PRD-0257,1872,511.0,9.57,15.8,3.4,2,9,4.43
PRD-0699,679,1403.0,9.52,22.4,18.6,6,19,3.1
PRD-0936,3164,790.0,25.0,26.3,6.1,9,30,3.81
PRD-0125,1950,342.0,6.67,16.7,6.2,1,10,4.38
PRD-0756,3128,858.0,26.85,26.2,5.8,12,31,4.11
PRD-0546,607,913.0,5.54,24.2,16.8,9,19,3.33
PRD-0408,129,6960.0,8.98,36.1,8.1,0,25,4.22
PRD-0310,151,6904.0,10.43,41.1,10.3,1,21,4.26
PRD-0959,2369,801.0,18.98,33.0,1.3,18,26,4.14
PRD-0754,610,928.0,5.66,27.7,16.5,7,18,3.37
PRD-0513,679,1075.0,7.3,27.6,17.2,9,16,3.72
PRD-0162,2077,542.0,11.25,20.7,6.2,4,5,4.66
PRD-0436,138,8357.0,11.53,37.4,6.8,1,19,4.18
PRD-0176,1126,450.0,5.07,19.7,0.8,5,4,4.27
PRD-0558,733,1155.0,8.46,23.2,16.1,2,13,3.57
PRD-0056,2251,343.0,7.73,18.6,6.5,5,6,4.21
PRD-0047,1507,471.0,7.09,21.6,2.2,3,6,4.51
PRD-0712,539,988.0,5.32,23.0,15.2,13,12,3.45
PRD-0090,2139,465.0,9.95,19.9,3.5,4,9,4.33
PRD-0706,610,1088.0,6.63,25.0,15.9,11,14,3.31
PRD-0444,184,6977.0,12.84,37.9,10.2,0,23,4.09
PRD-0264,114,6952.0,7.93,42.3,8.2,0,28,4.23
PRD-0386,147,6299.0,9.26,38.1,5.5,2,27,3.94
PRD-0149,1405,442.0,6.21,16.3,1.3,3,8,4.5
PRD-0703,496,1537.0,7.62,21.1,19.3,5,10,3.72
PRD-0292,173,6329.0,10.95,37.8,6.1,1,25,4.24
PRD-0553,917,1150.0,10.54,26.3,16.2,13,16,3.28
PRD-0394,160,5670.0,9.07,39.2,5.5,0,21,4.45
PRD-0261,174,8320.0,14.48,38.9,9.3,0,25,4.27
PRD-0414,137,6530.0,8.95,40.9,7.7,2,24,4.29
PRD-0464,136,5964.0,8.11,41.2,8.0,1,19,4.35
PRD-0614,885,1202.0,10.64,26.7,18.5,6,17,3.22
PRD-0977,1985,877.0,17.4,31.1,6.4,12,31,3.72
PRD-0365,146,6866.0,10.02,36.9,5.9,1,21,4.5
PRD-0301,194,6423.0,12.46,37.2,6.0,2,26,4.03
PRD-0187,1870,388.0,7.25,13.3,4.4,3,7,4.14
PRD-0720,516,1090.0,5.63,21.6,16.9,13,14,3.26
PRD-0831,3381,585.0,19.77,30.1,5.8,4,31,3.93
PRD-0612,600,1585.0,9.51,25.1,17.3,9,15,3.26
PRD-0999,3580,930.0,33.3,23.3,8.3,10,24,4.4
PRD-0596,760,1519.0,11.54,22.8,14.3,7,16,3.37
PRD-0151,1785,437.0,7.8,20.9,1.4,6,7,3.96
PRD-0491,185,7167.0,13.26,43.1,9.4,1,23,4.31
PRD-0812,3228,935.0,30.17,30.0,5.0,11,32,3.89
PRD-0710,469,1033.0,4.84,24.8,14.8,6,10,2.86
PRD-0950,3525,984.0,34.68,29.3,5.1,12,29,4.1
